Day of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
"January 1, 2020",1/1/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,796.6829915
"January 2, 2020",1/2/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,920.5954
"January 3, 2020",1/3/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,905.395267
"January 4, 2020",1/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,845.164417
"January 5, 2020",1/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,789.638879
"January 6, 2020",1/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,928.456261
"January 7, 2020",1/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,991.42737
"January 8, 2020",1/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1001.347845
"January 9, 2020",1/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1006.039829
"January 10, 2020",1/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1024.861188
"January 11, 2020",1/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,960.173437
"January 12, 2020",1/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,876.115087
"January 13, 2020",1/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,990.552376
"January 14, 2020",1/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,999.296743
"January 15, 2020",1/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1032.610745
"January 16, 2020",1/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1082.530138
"January 17, 2020",1/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1017.204397
"January 18, 2020",1/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,889.684338
"January 19, 2020",1/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,815.326286
"January 20, 2020",1/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,948.256555
"January 21, 2020",1/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,976.683143
"January 22, 2020",1/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,972.290409
"January 23, 2020",1/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,950.367192
"January 24, 2020",1/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,932.706849
"January 25, 2020",1/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,856.185369
"January 26, 2020",1/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,796.887994
"January 27, 2020",1/27/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,974.100711
"January 28, 2020",1/28/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1024.585103
"January 29, 2020",1/29/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1039.646205
"January 30, 2020",1/30/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1053.071192
"January 31, 2020",1/31/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1047.82654
"February 1, 2020",2/1/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,960.493438
"February 2, 2020",2/2/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,863.647768
"February 3, 2020",2/3/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,998.042694
"February 4, 2020",2/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1005.933964
"February 5, 2020",2/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1007.499249
"February 6, 2020",2/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,991.05713
"February 7, 2020",2/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,985.349041
"February 8, 2020",2/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,914.181947
"February 9, 2020",2/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,844.752573
"February 10, 2020",2/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,975.499583
"February 11, 2020",2/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,952.264415
"February 12, 2020",2/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,940.170277
"February 13, 2020",2/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,948.105643
"February 14, 2020",2/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,976.743184
"February 15, 2020",2/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,931.580832
"February 16, 2020",2/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,868.223709
"February 17, 2020",2/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1029.515509
"February 18, 2020",2/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1068.862889
"February 19, 2020",2/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1070.595882
"February 20, 2020",2/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1070.158056
"February 21, 2020",2/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1030.30199
"February 22, 2020",2/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,884.254312
"February 23, 2020",2/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,767.226377
"February 24, 2020",2/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,840.548802
"February 25, 2020",2/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,866.336436
"February 26, 2020",2/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,964.000308
